title,news,posting_date
침범,"['영화 ""침범""은 20년의 시간 차를 두고 세 명의 여성 주인공이 겪는 미스터리 스릴러입니다. 1부에서는 반사회적 성격을 가진 소현과 그녀를 홀로 키우는 엄마 영은의 긴장감 넘치는 이야기가 펼쳐지며, 소현의 위험한 행동에 엄마가 내리는 결단이 관객을 사로잡습니다. ', '2부는 20년 후, 과거를 잊고 특수청소업체에서 일하는 민이 주인공으로 등장하면서 시작됩니다. 민의 일상에 신입 사원 해영이 개입하면서 갈등이 그려지며, 이는 관객에게 흥미로운 추리 요소를 제공합니다. 공세리, 영영 작가의 웹툰이 원작이며, 김여정과 이정찬 감독이 각본을 공동 집필하고 연출했습니다. 12일 개봉 예정이며, 15세 이상 관람가입니다.']",2025-03-17 00:00:00
숨,"[""영화 '숨'은 삶과 죽음의 경계를 탐구하는 작품으로, 윤재호 감독의 신작입니다. 죽음을 준비하는 상황 속에서 각기 다른 인물들의 이야기를 통해 우리가 놓치고 있는 중요한 질문들을 던집니다. 특히, 대한민국 전통 장례 명장 유재철 장례지도사를 중심으로 필요한 죽음의 의미를 조명합니다."", '이 영화는 고독사와 범죄 현장의 정리, 그리고 죽음을 준비하는 이들의 일상까지, 우리가 쉽게 다루지 못하는 죽음을 현미경처럼 살펴봅니다. 각자의 목소리를 담고 있는 이 작품은 오는 12일 개봉되며, 제24회 전주국제영화제에도 초청되었습니다. 72분 동안 관람하실 수 있으며, 12세 이상 관람가입니다.']",2025-03-17 00:00:00
침범,"['영화 ""침범""은 20년의 격차를 두고 세 명의 여성을 중심으로 펼쳐지는 미스터리 스릴러입니다. 1장은 반사회적 성격장애를 가진 아이 소현과 그의 어머니 영은의 이야기를 다루며, 소현의 위험한 행동이 점차 극단으로 치닫자 영은 결단의 순간을 맞이합니다.', '2장에서는 그로부터 20년 후, 과거의 기억을 잃은 민이 특수청소업체에서 일하며 신입 해영과의 갈등을 겪게 됩니다. 이 영화는 사이코패스 엄마의 고뇌와 함께 흥미로운 추리 요소를 제공하여 관객을 사로잡습니다. 12일 개봉하며, 러닝타임은 112분입니다.']",2025-03-17
숨,"[""영화 '숨'은 죽음을 마주하는 인물들의 삶을 통해 죽음의 의미를 탐구하는 작품입니다. 윤재호 감독은 고독사와 범죄 현장을 정리하는 유품 정리사, 그리고 죽음을 준비하는 노인의 일상과 인터뷰를 통해 삶과 죽음의 경계를 조명합니다. "", '대한민국의 전통 장례 명장 유재철의 이야기를 중심으로, 죽음을 바라보는 새로운 시각을 제시합니다. 제24회 전주국제영화제에서 ""터부시되는 모든 것""을 현미경처럼 관찰한다는 평을 받은 이 영화는 12일 개봉하며, 72분의 짧은 러닝타임 속에서 깊은 여운을 남길 것으로 기대됩니다.']",2025-03-17
침범,"[""영화 '침범'은 세 명의 여성 사이에서 벌어지는 미스터리 스릴러로, 20년의 간격을 두고 각각의 이야기가 진행됩니다. 첫 번째 장에서는 반사회적 성격장애를 가진 소현과 그녀를 키우는 엄마 영은의 갈등이 그려지며, 엄마의 고뇌가 시청자에게 큰 긴장감을 선사합니다."", '두 번째 장에서는 20년 후의 이야기가 펼쳐지며, 과거의 기억을 잃은 민과 새로운 직원 해영 간의 갈등으로 긴장감이 차오릅니다. 원작 웹툰을 바탕으로 한 이 작품은 두 감독의 찰떡궁합으로 강렬한 스릴과 추리 요소를 함께 제공합니다. 12일 개봉으로, 112분의 쫄깃한 여정을 기대해 보시기 바랍니다.']",2025-03-17
숨,"[""영화 '숨'은 죽음을 준비하는 삶을 진지하게 탐구하는 작품입니다. 윤재호 감독은 이 영화에서 전통 장례 명장 유재철의 이야기를 중심으로 고독사와 범죄 현장을 정리하는 유품정리사, 죽음을 준비하는 노인 등의 일상을 담아내며 삶과 죽음의 의미를 고찰합니다. "", '본 작품은 ""터부시되는 모든 것, 죽음 뒤에 남는 것을 마치 현미경처럼 들여다본다""는 찬사를 받으며 제24회 전주국제영화제에 초청되었습니다. 12일 자로 개봉되며, 72분의 짧은 시간 안에 관객들에게 깊은 울림을 주는 기대작입니다. 12세 이상 관람이 가능합니다.']",2025-03-17
침범,"[""영화 '침범'은 세 명의 여자와 20년의 격차를 두고 벌어지는 미스터리 스릴러입니다. 1장에서는 반사회적 성격장애를 가진 소현과 그녀를 홀로 키우는 엄마 영은의 갈등을 중심으로 전개되며, 소현의 위협적인 행동이 점차 심화됩니다. "", '2장에서는 20년 후 잊힌 기억을 가진 민이 주인공으로 등장하며, 신입 사원 해영과의 만남으로 인해 불안한 일상이 펼쳐집니다. 이 영화는 스릴과 추리의 조화를 잘 이루어내며, 공세리·영영 작가의 웹툰을 원작으로 한 독특한 스토리가 매력적입니다. 12일 개봉이며, 15세 이상 관람가입니다.']",2025-03-17
숨,"[""영화 '숨'은 죽음을 준비하는 다양한 인물들의 이야기를 통해 삶과 죽음의 의미를 탐구하는 작품입니다. 윤재호 감독이 전통 장례 명장 유재철 씨와 고독사 현장을 다루는 유품정리사, 죽음을 준비하는 노인의 일상 등을 담아내어 관객에게 새로운 시각을 제공합니다."", '이 영화는 죽음에 대한 터부를 깨고, 그 뒤에 남는 것들을 현미경처럼 세밀하게 들여다보는 데 주력하고 있습니다. 제24회 전주국제영화제에 초청받은 이 작품은 오는 12일 개봉하며, 72분의 짧은 러닝타임 속에 깊이 있는 메시지를 담고 있음을 기대하게 만듭니다.']",2025-03-17
침범,"[""영화 '침범'은 세 명의 여성과 20년의 시간 차를 두고 그려지는 미스터리 스릴러입니다. 1장에서는 반사회적 성격장애를 가진 소현과 그를 키우는 어머니 영은의 긴장감 넘치는 이야기가 펼쳐지며, 소현의 위험한 행동이 점차 확대됨에 따라 영은은 중대한 결정을 내리게 됩니다. "", '2장에서는 20년 후, 기억을 잃은 민이 등장하여 평온한 생활에 균열을 일으키는 해영과의 갈등이 시작됩니다. 두 감독의 협업으로 탄생된 이 작품은 특유의 긴장감과 미스터리를 겸비하여 관객을 매료시킬 것으로 기대됩니다. 12일 개봉, 112분 분량의 이 영화는 15세 이상 관람이 가능합니다.']",2025-03-17
숨,"['「숨」은 윤재호 감독의 신작으로, 죽음을 준비하는 다양한 인물들의 이야기를 통해 삶과 죽음의 의미를 탐구하고 있습니다. 특히, 대한민국의 전통 장례 명장 유재철 장례지도사의 경험을 중심으로, 고독사와 범죄 현장에서 유품을 정리하는 김새별 유품정리사와 폐지 줍는 노인 문인산 씨의 일상도 카메라에 담겨 있습니다.', '이 영화는 관객들에게 죽음을 둘러싼 터부를 깨고, 남겨진 감정과 사연을 들여다보는 기회를 제공합니다. 제24회 전주국제영화제에 초청되어 주목받았으며, 12세 이상 관람가로 오는 12일에 개봉할 예정입니다. 삶과 죽음을 성찰하는 여정에서 심오한 메시지를 발견해 보시기 바랍니다.']",2025-03-17
