title,review,posting_date
폭싹 속았수다,"제주에서 반항아의 성장 이야기, 드라마 재미있어!",2025-03-17 00:00:00
마녀,마녀: 김다미의 액션과 매력 대박!,2025-03-17 00:00:00
감자연구소,힐링 코믹로맨스 감자 이야기!,2025-03-17 00:00:00
위플래쉬,"위플래쉬, 열정과 광기의 대결.",2025-03-17 00:00:00
일렉트릭 스테이트,유치하지만 귀여운 로봇 영화 ,2025-03-17 00:00:00
미스터트롯3,"미스터트롯3, 정말 재밌어!",2025-03-17 00:00:00
중증외상센터,메디컬 히어로 드라마의 새 지평!,2025-03-17 00:00:00
소년의 시간,롱테이크 연출의 몰입감 최고!,2025-03-17 00:00:00
애인있어요,기억 잃은 여자의 사랑과 갈등 이야기!,2025-03-17
극장판 주술회전 0,주술회전 입문의 최적 영환!,2025-03-17
19곰 테드,말하는 곰과의 발칙한 우정!,2025-03-17
오만과 편견,"고전 로맨스의 진수, 사랑의 오만을 극복하다.",2025-03-17
화유기,손오공과 요괴들이 펼치는 신화적 이야기!,2025-03-17
일렉트릭 스테이트,로봇과 인간의 갈등을 다룬 아동 영화.,2025-03-17
신의 한 수,바둑을 핑계로 한 액션 영화,2025-03-17
중경삼림,홍콩의 청춘과 사랑을 담은 명작.,2025-03-17
해피 투게더,해피 투게더는 사랑의 복잡함을 그린 감동적인 작품이야.,2025-03-17
폭싹 속았수다,감동과 웃음 모두 갖춘 드라마야,2025-03-17
마녀,김다미의 놀라운 연기와 강렬한 액션이 돋보이는 마녀의 시작!,2025-03-17
감자연구소,감자와 차가운 원칙주의자의 힐링 코믹로맨스!,2025-03-17
위플래쉬,위플래쉬는 광기와 열정의 대결이다.,2025-03-17
일렉트릭 스테이트,귀여운 로봇과 유치한 스토리의 SF 영화.,2025-03-17
미스터트롯3,"미스터트롯3, 재방송 몰아봤어!",2025-03-17
미운 우리 새끼,"미운 우리 새끼, 가족의 따뜻함 전해주는 예능!",2025-03-17
중증외상센터,메디컬 드라마의 진수를 보여주는 재미있는 전개!,2025-03-17
소년의 시간,롱테이크 방식으로 깊이 있는 질문을 던지는 스릴러 드라마.,2025-03-17
6시간 후 너는 죽는다,6시간 후 죽음의 예고가 불러온 짜릿한 심리 드라마.,2025-03-17
데몬 시티: 악귀 죽이기,단순한 스토리의 액션물.,2025-03-17
역습,"군인들의 인질 구출 액션, 짜릿한 재미!",2025-03-17
더 퍼스트 슬램덩크,청춘과 열정이 가득한 농구 이야기,2025-03-17
대도시의 사랑법,진정한 나를 찾는 청춘 이야기,2025-03-17
바스티옹 36번지,혼자서 수사하는 경찰의 스릴 넘치는 이야기!,2025-03-17
임영웅│아임 히어로 더 스타디움,임영웅의 진정한 히어로로서의 매력을 느낄 수 있는 감동의 영화.,2025-03-17
타로: 죽음의 카드,기대 이하인 공포 영화,2025-03-17
베테랑2,범죄 수사와 액션의 조화가 돋보이는 영화.,2025-03-17
